"Id","DishName","RestaurantId","Price","WaitTime"
"1","Zupa mleczna","2","11","15"
"2","Sajgonki","3","10","30"
"3","King Burger","4","22","60"
"4","Duża Pizza","5","30","90"
"5","Carbonara","6","15","20"
"6","Taco","7","15","15"
"7","Cheeseburger z frytkami","8","25","15"
"8","Sałatka jarzynowa","9","10","10"
"9","Sałatka cesarska","9","15","16"
"10","Doner Kebab","10","15","5"
"11","Kebab z baraniną","10","20","5"
"12","Schabowy z ziemniakami","11","10","20"
"13","Kapusta kiszona","11","5","2"
"14","Płatki zbożowe na mleku","2","5","10"
"15","Kaczka po Pekińsku","3","25","30"
"16","Kurczak Burger","4","15","18"
"17","Big King","4","50","30"
"18","Średnia Pizza","5","20","20"
"19","Penne ze szpinakiem","6","10","15"
"20","Tortilla","7","16","10"
"21","Warsztat Burger","8","30","20"
